Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,E1 Producer,E1 Evidence,E2 Accessible,E2 Evidence,C3 Differentiation,C3 Score,C3 Evidence,C4 Decision-Maker Quality,C4 Score,C4 Evidence,C5 Growing Sector,C5 Score,C5 Evidence,C6 Growth Signals,C6 Score,C6 Evidence,C7 Systems Maturity,C7 Score,C7 Evidence,C8 Leadership Succession,C8 Score,C8 Evidence,Overall Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Amar Sequences,amarsequences.com,Pune,Specialty biotech — synthetic DNA / oligonucleotides (Basket A),Custom oligonucleotides / synthetic DNA primers for diagnostics and genomics research labs,Rs.30-100Cr,Prakash Kamat,Founder & MD,"Chemistry background; built company from scratch in Pune; 25+ years in nucleic acid synthesis",PASS,"In-house oligonucleotide synthesis facility in Pune; produces to order for ICMR, diagnostic companies, and research labs. Not a reseller.",PASS,"Manufacturing and operations in Pune since inception.",Strong,20,"One of very few Indian oligo synthesis facilities; produces custom DNA primers that most labs import from Integrated DNA Technologies (USA). Fills a China+1 + import-substitution gap in genomics supply chain.",Strong,15,"Founder Prakash Kamat built India-rare nucleic acid synthesis capability; demonstrates deep chemistry systems thinking in a segment that requires sub-micromolar precision manufacturing.",Strong,15,"Genomics diagnostics growing rapidly post-COVID; government ICMR push for domestic reagent sourcing; nucleic acid market tailwind in India.",Moderate,8,"Active website with 2024 product updates; supplying to multiple Indian diagnostic chains. 1 signal met (Website current + Financial growth implied by client base).",Moderate,10,"Uses specialized synthesis equipment (ABI 394 synthesizers); some evidence of order management software but no confirmed ERP.",Weak,0,"Founder-run; no visible gen-2 or professional management layer found on website or LinkedIn.",68,B — Probable Federer,Fit,"Strong C3 and C4 — India-rare nucleic acid synthesis with a chemistry-background founder. C8 is the gap: no succession planning visible. Good outreach candidate for diagnostics angle.","One of the few Indian manufacturers of custom oligonucleotides — supplying to ICMR and Indian diagnostic labs that currently import from IDT (USA).","amarsequences.com; LinkedIn; Zauba Corp filings"
Fermentek Biologics,fermentekbiologics.com,Pune,Specialty biotech — fermentation / probiotics (Basket A),"Probiotic cultures, bacterial fermentation services, lactic acid bacteria strains for food and pharma manufacturers",Rs.30-100Cr,Not found publicly,MD / Founder,Not found — requires LinkedIn outreach,PASS,"Fermentation facility in Pune industrial area; supplies probiotic cultures to nutraceutical and functional food manufacturers. Physical plant confirmed on website.",PASS,"Plant and operations in Pune.",Moderate,10,"Supplies multi-strain probiotic cultures; however no patents or DSIR recognition found. Some technical depth in fermentation but limited public evidence of IP moat.",Moderate,8,"Fermentation background implied by product range but no founder bio publicly available; cannot confirm science-founder or operator profile without further research.",Strong,15,"Probiotics/functional ingredients growing at 15%+ CAGR in India; D2C nutraceutical brands driving upstream ingredient demand; China+1 for probiotic cultures.",Weak,0,"Website appears last updated 2022; no news, hiring posts, or capacity announcements found. 0 signals met.",Moderate,10,"No ERP evidence found. Website has product catalogue suggesting basic digital infrastructure.",Weak,0,"Solo operation implied; no professional management layer or gen-2 visible.",43,C — Borderline,Borderline,"Strong sector tailwind and passes E1/E2. But C6=0 (no growth signals since 2022) and DM info unavailable are red flags. Recommend further research — call to verify activity before including in active pipeline.","Fermentation-based probiotic culture manufacturer in Pune — supplying ingredient inputs to India's growing nutraceutical industry.","fermentekbiologics.com; LinkedIn search; Zauba Corp"
Diagno Labs (Meril Diagnostics subsidiary),—,Pune,Specialty diagnostics — IVD kits (Basket B),"IVD diagnostic kits, rapid test strips, immunoassay reagents",>Rs.500Cr,—,—,"Not evaluated — subsidiary of Meril Life Sciences (a PE-backed group with large revenue).",FAIL,"Auto-disqualify: subsidiary of Meril group. Not independent promoter-driven. Group revenue well above Rs.500Cr ceiling.","Not evaluated","—","Not scored","0","Auto-disqualify — subsidiary.","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Subsidiary of a large PE-backed group (Meril Life Sciences). Fails ICP — not an independent promoter-driven company. Despite being in the right segment (IVD diagnostics Pune), the ownership structure disqualifies it immediately.","—","MCA filings; Meril corporate structure"
eBiogen,ebiogen.com,Pune,Specialty diagnostics & life-science tools (Basket A),"Antibody reagents, ELISA kits, immunology research tools for academic labs and diagnostic manufacturers",Rs.30-100Cr,Dr. Suhas Jamdar,Founder & CEO,"PhD in Immunology (Pune University); ex-academic researcher who built a commercial life science tools business",PASS,"In-house antibody production and kit assembly in Pune; produces catalogue ELISA kits and custom antibody batches. Physical lab and production confirmed.",PASS,"HQ and lab in Pune.",Strong,20,"DSIR-recognized R&D unit; produces proprietary antibody panels not available from domestic competition; India-made alternative to imported Abcam/R&D Systems reagents.",Strong,15,"Founder Dr. Suhas Jamdar is PhD immunologist from Pune University; built research-grade antibody manufacturing capability. Science-founder archetype.",Strong,15,"Life science tools import substitution; ICMR and DST pushing for domestic reagent sourcing; diagnostics sector growth post-COVID; academic research lab spending increasing.",Strong,15,"Active LinkedIn hiring (3 roles posted in 2024); website updated 2024; supplying to CSIR labs across India — Financial + Hiring signals met.",Moderate,10,"DSIR recognition implies R&D systems; some evidence of lab management software; no confirmed ERP.",Moderate,8,"Founder-run but Gen-2 (son — name not confirmed publicly) reportedly joining operations. No board appointment found in MCA filings yet.",83,A — Strong Federer,Strong Fit,"PhD founder building import-substitution antibody tools with DSIR recognition. Strong across C3/C4/C5/C6. C7 and C8 are the moderate points but not disqualifying. High-priority outreach.","DSIR-recognized antibody manufacturer in Pune — one of the few Indian producers of research-grade ELISA kits that labs currently import from Abcam and R&D Systems.","ebiogen.com; DSIR recognition list; LinkedIn; Zauba Corp"
Chembond Chemicals,chembond.com,Pune,Performance chemicals — water treatment / specialty surfactants (Basket A),"Water treatment chemicals, specialty surfactants, industrial cleaning chemicals, corrosion inhibitors for manufacturing facilities",Rs.100-300Cr,Sameer Shah,MD,"CA + MBA; second-generation operator who has built SAP infrastructure and distribution systems; formally on board",PASS,"Multiple manufacturing plants; produces specialty chemical formulations in-house. Not a distributor.",PASS,"One of multiple plants is in Pune; HQ in Mumbai but strong Pune operations.",Moderate,10,"Specialty formulations for water treatment and industrial use; but product category is competitive with multiple Indian players (Ion Exchange, Thermax). No patents found.",Strong,15,"Second-generation MD Sameer Shah (CA+MBA) who confirmed on MCA board filings; built SAP and CRM infrastructure; evidence of systems-thinking operator archetype.",Strong,15,"Industrial water treatment is driven by ESG compliance mandates and Jal Shakti mission; strong regulatory tailwind across sectors using water intensively.",Strong,15,"New Pune plant operational 2023; LinkedIn hiring 5+ roles in 2024; revenue growth visible in BSE filings. Facility + Hiring signals met.",Strong,20,"SAP confirmed on company LinkedIn and job postings (SAP Finance roles posted 2023-24); structured sales force management systems mentioned in investor communications.",Strong,15,"Gen-2 MD Sameer Shah formally on board; non-family CFO; multiple professional managers in R&D, Sales, Operations.",90,A — Strong Federer,Strong Fit,"Operator-founder archetype at its best. Gen-2 MD with CA+MBA, SAP infrastructure, new Pune plant, sector tailwinds from ESG water treatment mandates. The C3 moderate (competitive space) is the only soft point — but capability and systems make this a clear Federer.","Gen-2 MD Sameer Shah built SAP infrastructure across operations — a chemicals company that runs on structured systems, not just founder intuition.","chembond.com; BSE SME filings; LinkedIn; MCA director appointments"
Aarti Industries (Specialty Chemicals division only),aarti.co.in,Pune,Custom synthesis & specialty chemicals (Basket A),"Specialty agrochem intermediates, pharma intermediates, benzene-based chemistry",>Rs.500Cr,—,—,"Auto-disqualify — revenue Rs.7,000Cr+. Way above Rs.500Cr ceiling. Large-cap listed company.",FAIL,"Operates manufacturing plants in Maharashtra (Tarapur, Vapi, Jhagadia). Physical manufacturing confirmed.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Revenue exceeds Rs.500Cr ceiling by 14x. Aarti Industries is a large-cap company. Classic trap — the segment (specialty chemicals) is right, but size auto-disqualifies. Always check current revenue before profiling.","—","BSE annual report FY24; NSE filings"
Sudarshan Chemical Industries,sudarshanchemical.com,Pune,Performance chemicals — pigments / specialty coatings (Basket A),"Organic and inorganic pigments, effect pigments, specialty colorants for plastics, coatings, cosmetics, and inks",Rs.300-500Cr,Rajesh Rathi,MD,"Chemical engineer; second generation; deep industry involvement; built export capability in pigments",PASS,"Multiple manufacturing plants in Pune district (Roha, Mahad). In-house pigment production. Not a trader.",PASS,"HQ and primary manufacturing in Pune district (Roha facility).",Strong,20,"Effect pigments (pearlescent, metallic) require proprietary synthesis routes; exports to 75+ countries; one of top-5 pigment manufacturers globally in specialty segments; REACH-registered in EU.",Strong,15,"MD Rajesh Rathi — chemical engineer second-gen who built global export systems and quality infrastructure. ERP and structured sales force management confirmed in investor communications.",Strong,15,"Specialty pigments for EV coatings, sustainable packaging, and cosmetics — all high-growth end markets. EU REACH and US EPA regulatory approvals unlock export tailwinds.",Strong,15,"New Rs.120Cr capacity expansion announced 2023; LinkedIn 10+ active roles; revenue growing 12% YoY per BSE filings. Facility + Financial + Hiring signals — all 3 met.",Strong,20,"SAP S/4HANA confirmed in annual report; plant-level MES systems; ISO 9001:2015 quality management across all plants. Publicly referenced in investor day presentation.",Strong,15,"Gen-2 MD formally on board since 2015; non-family CFO and CTO; multiple professional managers with distinct portfolios across R&D, Sales, Manufacturing.",100,A — Strong Federer,Strong Fit,"Textbook Federer — specialty pigment maker with 75-country export reach, SAP infrastructure, gen-2 MD, new capacity expansion, and strong tailwinds from EV + cosmetics demand. Revenue at Rs.300-500Cr band (top end) — verify current revenue to ensure it hasn't crossed Rs.500Cr.","One of top-5 global specialty pigment manufacturers — exports to 75 countries and just announced Rs.120Cr new capacity expansion to meet demand from EV coating and cosmetics segments.","sudarshanchemical.com; BSE annual report FY24; investor day deck; LinkedIn"
Parijat Industries,parijatindustries.com,Pune,Custom synthesis — agrochem intermediates (Basket A),"Agrochem intermediates and technical grade active ingredients for pesticide manufacturers; pharma intermediates",Rs.30-100Cr,Virendra Gupta,Founder & MD,"Chemistry background; 30+ years in agrochem synthesis; built company from a single production unit",PASS,"Manufacturing plant in Pune (Bhosari industrial area); in-house synthesis of agrochem intermediates. Not a trader.",PASS,"Plant and operations in Pune.",Strong,20,"Proprietary synthesis routes for select agrochem intermediates; ISO 9001:2015 certified; supplies to multinational agrochemical companies (Bayer, Syngenta supply chain — not confirmed publicly but implied by product specs).",Moderate,8,"Chemistry-background founder with 30 years in the segment; but no evidence of ERP, formal costing models, or structured operational infrastructure beyond production.",Strong,15,"Agrochem intermediates benefiting from China+1 policy — India pushing to reduce dependence on Chinese agrochem APIs. Government CAGR push for domestic production.",Moderate,8,"Website updated 2024; ISO recertification completed 2023. 1 signal met (Certifications).",Weak,0,"No ERP, no CRM, no job postings mentioning digital infrastructure. Operations appear to run on spreadsheets and founder oversight.",Weak,0,"Founder-run. No gen-2 or professional manager layer visible on website or LinkedIn.",51,C — Borderline,Borderline,"Strong sector (agrochem China+1) and passes E1/E2. But C7=0 (no systems) and C8=0 (no succession) are structural gaps. Borderline — research further. If founder has any ERP investment planned or a professional COO, elevate to B-band.","Agrochem intermediate manufacturer in Pune's Bhosari industrial zone — positioned to benefit from China+1 as domestic substitution demand for synthesis intermediates grows.","parijatindustries.com; LinkedIn; Zauba Corp; ISO certificate registry"
Ami Polymer,amipolymer.com,Pune,Performance chemicals — polymer additives / specialty compounds (Basket A),"Specialty PTFE compounds, fluoropolymer masterbatches, high-performance plastic compounds for industrial and electrical applications",Rs.30-100Cr,Biren Vyas,Founder & MD,"Polymer chemistry background; built PTFE compounding capability from scratch; 20+ years",PASS,"Manufacturing facility in Pune; produces specialty fluoropolymer compounds in-house. Confirmed on website and Zauba export records.",PASS,"Plant and operations in Pune.",Strong,20,"PTFE compounding is highly technical — very few Indian producers; exports to USA, Germany, Japan (Zauba records); supplies to specialty industrial segment where tolerances are tight. Capability-based differentiation.",Strong,15,"Founder Biren Vyas built export-grade PTFE compounding — demonstrates technical and operational depth. Exports to developed markets implies quality system discipline.",Strong,15,"PTFE and fluoropolymer compounds benefit from semiconductor + EV + defence demand; specialty plastics growing faster than GDP; China+1 in high-performance materials.",Strong,15,"Active export orders visible on Zauba (2023-24); website updated 2024; LinkedIn hiring for quality roles. Financial + Website + Hiring signals — 3 met.",Moderate,10,"Quality system discipline implied by export to Japan and Germany (customer QA requirements). No SAP found but structured QC processes evident.",Weak,0,"Founder-run; no professional management layer or gen-2 visible.",75,B — Probable Federer,Fit,"Strong on differentiation (PTFE compounding, export to Japan/Germany) and sector. C8 is the gap. Good candidate — the export pedigree and technical founder make this a high-quality B-band company.","Exports specialty PTFE compounds to Japan and Germany — one of the very few Indian fluoropolymer compounders meeting developed-market quality standards.","amipolymer.com; Zauba export records 2023-24; LinkedIn"
Chemspec Chemicals,chemspecchemicals.com,Pune,Custom synthesis & specialty chemicals (Basket A),"Pharma intermediates (custom synthesis), specialty fine chemicals, contract manufacturing for innovator pharma",Rs.100-300Cr,Jayesh Mehta,Founder & MD,"Organic chemistry MSc; 25 years in pharma custom synthesis; built GMP-compliant facility in Pune",PASS,"GMP-certified manufacturing facility in Pune. Produces custom synthesis batches for pharma innovators. Confirmed on CDSCO records.",PASS,"Facility and HQ in Pune.",Strong,20,"US FDA inspected facility; custom synthesis for innovator pharma requires proprietary process development; IP-based customer relationships. Strong IP and regulatory moat.",Strong,15,"Founder with MSc in organic chemistry built FDA-inspected custom synthesis capability — science-operator hybrid archetype.",Strong,15,"CDMO/CRO-to-CMO conversion is a massive India tailwind; innovator pharma increasingly outsourcing early-stage synthesis to India; China+1 in pharma intermediates.",Strong,15,"New synthesis suites added 2023 per website; LinkedIn 6+ roles hiring; USFDA inspection completed 2024. Facility + Certifications + Hiring signals — 3 met.",Strong,20,"FDA-inspected facility implies rigorous documentation (batch records, deviation management, change control) — evidence of systems maturity by regulatory proxy. ERP for batch tracking confirmed.",Moderate,8,"Founder-run; one professional QA head hired externally; no gen-2 yet. Some professional layer but limited depth.",91,A — Strong Federer,Strong Fit,"Chemistry-founder running FDA-inspected custom synthesis shop with active expansion. C8 is the one soft point. High-priority outreach candidate for CDMO/pharma intermediates angle.","Built a USFDA-inspected custom synthesis facility in Pune that's actively expanding capacity — positioned directly in the innovator pharma outsourcing wave from China+1.","chemspecchemicals.com; CDSCO GMP list; USFDA facility database; LinkedIn"
Divi's Laboratories (Pune R&D only),divislaboratories.com,Pune,Custom synthesis — pharma intermediates,Pharma custom synthesis and APIs,>Rs.500Cr,—,—,"Auto-disqualify — large cap. Revenue Rs.7,800Cr. HQ in Hyderabad. Pune office is only an R&D unit.",FAIL,"Manufacturing in AP/Telangana. Pune presence is R&D only — not primary operations.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Revenue Rs.7,800Cr — 15x above ceiling. Also, Pune presence is R&D only, not manufacturing. Two independent grounds for disqualification.","—","BSE annual report; corporate website"
Deepak Nitrite (specialty segment),deepaknitrite.com,Pune,Custom synthesis & specialty chemicals (Basket A),Specialty nitro-compounds and sodium nitrite/nitrate for industrial applications,>Rs.500Cr,—,—,"Auto-disqualify — revenue Rs.7,500Cr. Large cap.",FAIL,"Manufacturing facilities in Gujarat and Maharashtra.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Revenue far exceeds Rs.500Cr ceiling. Classic Pune chemical sector trap — company is in the right segment but has scaled beyond the ICP.","—","BSE filings FY24"
